# Exhaustive accepted live-answer disposition baseline for GK 1.407 weekday NPC graphs.
# Derived only from accepted raw/lifecycle/task/frontier evidence; no display-text heuristics.
# Runtime watchdog keys exact authored occurrence by npc + Flow_MultiAnswer node + answer index/id.
# Counts: EVENT_INVOKED_NON_REMINDER=14, NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER=67, REMINDER_DIALOGUE_OWNER=58, REMINDER_TASK_OWNED=88, SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER=6, SAME_VISIT_DESCENDANT_OF_TASK_OWNER=6, SAME_VISIT_NON_REMINDER=4
# Invariant: 243/243 raw answer occurrences classified; UNKNOWN=0.
npc	multi	index	answer	disposition	owner	evidence
npc_merchant	98	1	merchant_2b_5b_2b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	127	0	merchant_2b_5b_2b_4a	SAME_VISIT_DESCENDANT_OF_TASK_OWNER	@merchant_2b	lifecycle-census
npc_merchant	127	1	merchant_2b_5b_2b_4b	SAME_VISIT_DESCENDANT_OF_TASK_OWNER	@merchant_2b	lifecycle-census
npc_merchant	190	0	merchant_2e_1a	REMINDER_TASK_OWNED	merchant_2e_1a	lifecycle-census
npc_merchant	190	1	merchant_2e_1b	REMINDER_TASK_OWNED	merchant_2e_1b	lifecycle-census
npc_merchant	190	2	merchant_2e_1c	REMINDER_TASK_OWNED	merchant_2e_1c	lifecycle-census
npc_merchant	190	3	merchant_2e_1d	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	190	4	@merchant_2e_1e	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	190	5	@merchant_2e_1f	REMINDER_TASK_OWNED	@merchant_2e_1f	lifecycle-census
npc_merchant	190	6	merchant_2e_1g	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	231	0	merchant_2e_1d_4a	SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER	@merchant_2e_1e	lifecycle-census
npc_merchant	231	1	merchant_2e_1d_4b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	402	0	merchant_favore_done_12a	SAME_VISIT_DESCENDANT_OF_TASK_OWNER	@merchant_favore_done	lifecycle-census
npc_merchant	402	1	merchant_favore_done_12b	SAME_VISIT_DESCENDANT_OF_TASK_OWNER	@merchant_favore_done	lifecycle-census
npc_merchant	537	0	@merchant_on_deal_done_4a	REMINDER_DIALOGUE_OWNER	@merchant_on_deal_done_4a	lifecycle-census
npc_merchant	537	1	merchant_on_deal_done_4b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	938	0	@merchant_on_deal_done_4a	REMINDER_DIALOGUE_OWNER	@merchant_on_deal_done_4a	lifecycle-census
npc_merchant	938	1	@merchant_marketing	REMINDER_DIALOGUE_OWNER	@merchant_marketing	lifecycle-census
npc_merchant	938	2	@merchant_marketing_done	REMINDER_TASK_OWNED	@merchant_marketing_done	lifecycle-census
npc_merchant	938	3	@merchant_sales_done	REMINDER_TASK_OWNED	@merchant_sales_done	lifecycle-census
npc_merchant	938	4	@merchant_crate_1	REMINDER_DIALOGUE_OWNER	@merchant_crate_1	lifecycle-census
npc_merchant	938	5	merchant_business_back	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	1121	0	merchant_70_7a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	1121	1	merchant_70_7b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	1126	0	merchant_70_7a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	1126	1	merchant_70_7b_2b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
